Component,Sub-component,Weight,Primary Material,% Primary Material,Secondary Material,% Secondary Material,Lifespan,Connection Method,Target_Class
Marine Diesel Generator Alternator,Insulation System,137.31,Epoxy Resin,61.4,Polyester Resin,28.4,12.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Cooling Fan,227.44,Aluminum Alloy,92.8,Carbon Steel,8.2,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,934.52,Copper,74.6,Epoxy Resin,22.7,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1252.54,Alloy Steel,96.7,None,0.0,27.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Terminal Box,98.2,Carbon Steel,68.9,Copper,18.5,21.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Bearings,159.65,Chromium Steel,86.7,Aluminum Alloy,10.0,8.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Terminal Box,105.45,Carbon Steel,71.7,Copper,19.2,21.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Frame / Housing,2536.38,Cast Iron,92.3,Carbon Steel,7.5,30.0,Welded,0.0
Marine Diesel Generator Alternator,Slip Rings,83.07,Copper,61.4,Stainless Steel,29.4,9.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Stator Windings,1902.05,Copper,78.3,Epoxy Resin,16.4,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Core,4829.94,Electrical Steel,95.5,Epoxy Resin,5.2,28.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,847.34,Copper,73.4,Epoxy Resin,20.3,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Cooling Fan,227.73,Aluminum Alloy,82.8,Carbon Steel,7.9,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,127.1,Epoxy Resin,65.6,Polyester Resin,30.9,10.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1164.97,Alloy Steel,97.9,None,0.0,25.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Bearings,147.99,Chromium Steel,82.9,Aluminum Alloy,10.9,9.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,935.12,Copper,72.2,Epoxy Resin,24.1,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Frame / Housing,2613.91,Cast Iron,86.9,Carbon Steel,6.4,34.0,Welded,0.0
Marine Diesel Generator Alternator,Cooling Fan,209.59,Aluminum Alloy,84.7,Carbon Steel,7.7,14.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Shaft,1265.87,Alloy Steel,96.2,None,0.0,27.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Slip Rings,82.12,Copper,57.3,Stainless Steel,30.7,7.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Insulation System,133.14,Epoxy Resin,64.1,Polyester Resin,32.4,12.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Bearings,146.66,Chromium Steel,82.5,Aluminum Alloy,9.9,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Core,4827.57,Electrical Steel,87.3,Epoxy Resin,5.2,30.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1870.85,Copper,75.1,Epoxy Resin,17.5,16.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,101.7,Carbon Steel,70.9,Copper,19.7,22.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Insulation System,145.15,Epoxy Resin,64.3,Polyester Resin,29.0,10.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1258.93,Alloy Steel,98.2,None,0.0,26.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1907.32,Copper,75.9,Epoxy Resin,16.6,18.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Cooling Fan,209.0,Aluminum Alloy,92.8,Carbon Steel,8.5,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Core,4820.33,Electrical Steel,96.1,Epoxy Resin,5.1,28.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2452.78,Cast Iron,88.4,Carbon Steel,7.1,27.0,Welded,0.0
Marine Diesel Generator Alternator,Slip Rings,80.33,Copper,57.1,Stainless Steel,27.3,7.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Rotor Windings,945.34,Copper,69.2,Epoxy Resin,23.3,16.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,101.03,Carbon Steel,70.4,Copper,21.5,24.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Bearings,162.95,Chromium Steel,82.5,Aluminum Alloy,10.4,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Cooling Fan,228.22,Aluminum Alloy,85.4,Carbon Steel,8.2,13.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Shaft,1154.37,Alloy Steel,100.0,None,0.0,34.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,900.4,Copper,70.1,Epoxy Resin,21.7,18.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Insulation System,150.68,Epoxy Resin,67.4,Polyester Resin,28.8,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,104.35,Carbon Steel,69.2,Copper,19.3,21.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Frame / Housing,2446.93,Cast Iron,92.5,Carbon Steel,7.6,26.0,Welded,0.0
Marine Diesel Generator Alternator,Stator Core,4460.09,Electrical Steel,94.7,Epoxy Resin,5.1,25.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Slip Rings,92.64,Copper,63.3,Stainless Steel,29.5,8.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Bearings,167.39,Chromium Steel,84.8,Aluminum Alloy,10.0,12.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1939.71,Copper,79.9,Epoxy Resin,17.7,16.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Insulation System,153.01,Epoxy Resin,66.4,Polyester Resin,32.3,12.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Bearings,151.2,Chromium Steel,80.7,Aluminum Alloy,10.7,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,981.45,Copper,71.3,Epoxy Resin,21.5,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Windings,1660.76,Copper,81.9,Epoxy Resin,17.1,15.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,100.57,Carbon Steel,66.8,Copper,19.2,23.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Slip Rings,79.15,Copper,61.7,Stainless Steel,30.4,7.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1171.89,Alloy Steel,99.9,None,0.0,32.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2718.56,Cast Iron,85.0,Carbon Steel,6.9,31.0,Welded,0.0
Marine Diesel Generator Alternator,Stator Core,4790.99,Electrical Steel,90.4,Epoxy Resin,5.1,23.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Cooling Fan,214.21,Aluminum Alloy,82.8,Carbon Steel,8.6,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Terminal Box,93.13,Carbon Steel,73.5,Copper,18.0,28.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Cooling Fan,210.11,Aluminum Alloy,87.7,Carbon Steel,7.8,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,970.59,Copper,72.3,Epoxy Resin,21.0,18.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Core,4920.02,Electrical Steel,91.3,Epoxy Resin,4.6,27.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2420.11,Cast Iron,94.1,Carbon Steel,7.3,25.0,Welded,0.0
Marine Diesel Generator Alternator,Rotor Shaft,1169.03,Alloy Steel,90.8,None,0.0,29.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1739.24,Copper,73.6,Epoxy Resin,18.6,18.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Bearings,174.71,Chromium Steel,89.9,Aluminum Alloy,9.2,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,139.88,Epoxy Resin,66.4,Polyester Resin,27.8,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Slip Rings,90.72,Copper,59.3,Stainless Steel,31.4,9.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Insulation System,147.49,Epoxy Resin,62.9,Polyester Resin,31.1,11.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1268.61,Alloy Steel,97.7,None,0.0,29.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Core,4638.31,Electrical Steel,91.8,Epoxy Resin,5.3,22.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2473.51,Cast Iron,90.1,Carbon Steel,6.6,33.0,Welded,0.0
Marine Diesel Generator Alternator,Bearings,171.65,Chromium Steel,90.0,Aluminum Alloy,9.5,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Slip Rings,78.85,Copper,61.5,Stainless Steel,31.9,9.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Terminal Box,95.05,Carbon Steel,67.3,Copper,22.0,26.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Cooling Fan,225.33,Aluminum Alloy,85.1,Carbon Steel,7.4,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,988.27,Copper,75.7,Epoxy Resin,21.7,16.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Windings,1652.74,Copper,73.8,Epoxy Resin,17.7,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1171.82,Alloy Steel,92.4,None,0.0,27.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Bearings,155.23,Chromium Steel,84.2,Aluminum Alloy,9.6,8.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Core,4447.4,Electrical Steel,87.1,Epoxy Resin,5.2,22.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Cooling Fan,218.89,Aluminum Alloy,92.3,Carbon Steel,7.4,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,152.55,Epoxy Resin,63.9,Polyester Resin,28.8,10.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,84.84,Carbon Steel,70.4,Copper,21.4,23.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Rotor Windings,943.43,Copper,70.8,Epoxy Resin,23.2,15.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Slip Rings,82.38,Copper,61.1,Stainless Steel,28.3,8.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Stator Windings,1939.39,Copper,74.5,Epoxy Resin,18.9,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Frame / Housing,2631.51,Cast Iron,94.5,Carbon Steel,7.2,26.0,Welded,0.0
Marine Diesel Generator Alternator,Rotor Shaft,1270.51,Alloy Steel,91.6,None,0.0,33.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2433.95,Cast Iron,86.7,Carbon Steel,7.1,27.0,Welded,0.0
Marine Diesel Generator Alternator,Cooling Fan,234.93,Aluminum Alloy,91.7,Carbon Steel,8.7,14.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Terminal Box,103.25,Carbon Steel,69.6,Copper,20.9,29.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Stator Core,4468.0,Electrical Steel,91.1,Epoxy Resin,5.4,25.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,813.94,Copper,72.9,Epoxy Resin,22.9,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Insulation System,127.27,Epoxy Resin,65.5,Polyester Resin,31.8,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Windings,1886.66,Copper,77.0,Epoxy Resin,18.7,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Bearings,175.09,Chromium Steel,81.6,Aluminum Alloy,10.5,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Slip Rings,90.7,Copper,59.3,Stainless Steel,28.6,7.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Rotor Windings,863.35,Copper,70.0,Epoxy Resin,20.3,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Windings,1812.08,Copper,76.1,Epoxy Resin,18.5,18.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Frame / Housing,2519.1,Cast Iron,86.0,Carbon Steel,7.5,25.0,Welded,0.0
Marine Diesel Generator Alternator,Slip Rings,94.79,Copper,63.5,Stainless Steel,28.3,7.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Bearings,164.76,Chromium Steel,86.4,Aluminum Alloy,10.9,9.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Core,5142.86,Electrical Steel,96.2,Epoxy Resin,4.8,21.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,151.15,Epoxy Resin,63.4,Polyester Resin,32.9,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1129.5,Alloy Steel,93.4,None,0.0,33.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Terminal Box,90.4,Carbon Steel,68.0,Copper,18.1,27.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Cooling Fan,234.57,Aluminum Alloy,92.6,Carbon Steel,8.1,13.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Core,4862.72,Electrical Steel,95.4,Epoxy Resin,5.3,22.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,851.71,Copper,74.0,Epoxy Resin,21.4,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,86.51,Carbon Steel,67.3,Copper,18.7,29.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Frame / Housing,2486.75,Cast Iron,89.9,Carbon Steel,7.3,32.0,Welded,0.0
Marine Diesel Generator Alternator,Stator Windings,1627.58,Copper,74.8,Epoxy Resin,16.8,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1215.53,Alloy Steel,90.1,None,0.0,25.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Cooling Fan,209.91,Aluminum Alloy,92.3,Carbon Steel,8.8,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Slip Rings,85.55,Copper,61.6,Stainless Steel,31.8,8.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Bearings,156.09,Chromium Steel,80.1,Aluminum Alloy,10.7,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,144.05,Epoxy Resin,61.4,Polyester Resin,28.5,10.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Windings,846.42,Copper,71.8,Epoxy Resin,22.3,15.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1151.49,Alloy Steel,93.1,None,0.0,26.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2438.34,Cast Iron,92.1,Carbon Steel,7.2,25.0,Welded,0.0
Marine Diesel Generator Alternator,Insulation System,149.1,Epoxy Resin,61.9,Polyester Resin,28.8,12.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Windings,1921.13,Copper,74.6,Epoxy Resin,19.5,12.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Slip Rings,83.51,Copper,57.5,Stainless Steel,30.9,7.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Cooling Fan,235.01,Aluminum Alloy,86.8,Carbon Steel,8.6,14.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Bearings,147.6,Chromium Steel,81.6,Aluminum Alloy,9.2,8.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Core,5150.09,Electrical Steel,90.4,Epoxy Resin,5.1,21.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Terminal Box,103.85,Carbon Steel,73.5,Copper,21.6,26.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Rotor Windings,922.46,Copper,70.2,Epoxy Resin,23.7,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Core,4799.42,Electrical Steel,90.6,Epoxy Resin,4.8,29.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Terminal Box,101.24,Carbon Steel,72.4,Copper,21.4,30.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Bearings,168.89,Chromium Steel,81.4,Aluminum Alloy,9.3,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,148.31,Epoxy Resin,68.7,Polyester Resin,31.9,10.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1189.55,Alloy Steel,97.6,None,0.0,26.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1736.3,Copper,74.5,Epoxy Resin,19.0,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Slip Rings,84.88,Copper,59.9,Stainless Steel,32.8,8.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Cooling Fan,225.41,Aluminum Alloy,84.2,Carbon Steel,8.7,14.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2557.48,Cast Iron,90.5,Carbon Steel,7.1,30.0,Welded,0.0
Marine Diesel Generator Alternator,Rotor Shaft,1161.87,Alloy Steel,89.3,None,0.0,35.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Slip Rings,75.15,Copper,60.4,Stainless Steel,32.7,9.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Terminal Box,85.8,Carbon Steel,68.7,Copper,21.4,29.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Stator Core,5045.0,Electrical Steel,89.7,Epoxy Resin,4.6,29.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2771.74,Cast Iron,94.5,Carbon Steel,6.6,34.0,Welded,0.0
Marine Diesel Generator Alternator,Insulation System,127.56,Epoxy Resin,62.2,Polyester Resin,32.8,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Windings,877.94,Copper,67.9,Epoxy Resin,24.0,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Windings,1872.5,Copper,79.5,Epoxy Resin,16.5,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Bearings,171.86,Chromium Steel,80.2,Aluminum Alloy,9.7,8.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Cooling Fan,203.25,Aluminum Alloy,88.7,Carbon Steel,8.5,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Shaft,1191.93,Alloy Steel,96.7,None,0.0,24.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,830.03,Copper,68.2,Epoxy Resin,22.6,16.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Slip Rings,78.34,Copper,57.6,Stainless Steel,29.4,8.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Stator Core,5144.25,Electrical Steel,91.5,Epoxy Resin,5.2,23.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Bearings,162.31,Chromium Steel,83.0,Aluminum Alloy,9.5,12.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Frame / Housing,2516.95,Cast Iron,85.6,Carbon Steel,6.8,35.0,Welded,0.0
Marine Diesel Generator Alternator,Insulation System,146.81,Epoxy Resin,64.2,Polyester Resin,27.3,11.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Cooling Fan,232.77,Aluminum Alloy,93.0,Carbon Steel,8.2,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1869.27,Copper,77.8,Epoxy Resin,18.5,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,92.5,Carbon Steel,66.3,Copper,19.5,24.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Cooling Fan,211.38,Aluminum Alloy,88.4,Carbon Steel,7.3,12.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Core,4997.01,Electrical Steel,89.9,Epoxy Resin,5.1,26.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,126.91,Epoxy Resin,63.2,Polyester Resin,32.9,12.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Frame / Housing,2623.2,Cast Iron,93.1,Carbon Steel,6.4,28.0,Welded,0.0
Marine Diesel Generator Alternator,Terminal Box,104.27,Carbon Steel,65.9,Copper,19.4,23.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Slip Rings,82.92,Copper,57.8,Stainless Steel,31.5,9.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1268.23,Alloy Steel,97.3,None,0.0,25.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1766.62,Copper,80.3,Epoxy Resin,16.6,17.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Rotor Windings,837.03,Copper,72.8,Epoxy Resin,21.5,16.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Bearings,171.26,Chromium Steel,82.9,Aluminum Alloy,9.3,10.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Cooling Fan,217.92,Aluminum Alloy,84.1,Carbon Steel,7.7,13.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1958.45,Copper,73.7,Epoxy Resin,18.8,16.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Insulation System,132.7,Epoxy Resin,68.9,Polyester Resin,30.6,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Terminal Box,96.4,Carbon Steel,74.2,Copper,18.4,20.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Bearings,168.52,Chromium Steel,83.1,Aluminum Alloy,10.7,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Slip Rings,93.06,Copper,60.0,Stainless Steel,29.7,7.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Rotor Shaft,1170.57,Alloy Steel,90.1,None,0.0,31.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,873.61,Copper,68.3,Epoxy Resin,22.9,15.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Frame / Housing,2776.96,Cast Iron,95.2,Carbon Steel,7.4,29.0,Welded,0.0
Marine Diesel Generator Alternator,Stator Core,5125.76,Electrical Steel,96.9,Epoxy Resin,5.5,25.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Cooling Fan,215.0,Aluminum Alloy,89.9,Carbon Steel,8.0,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Insulation System,150.52,Epoxy Resin,66.4,Polyester Resin,30.7,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Core,4985.12,Electrical Steel,89.2,Epoxy Resin,5.3,20.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,963.55,Copper,70.2,Epoxy Resin,20.5,14.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Windings,1646.27,Copper,77.0,Epoxy Resin,17.9,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Frame / Housing,2587.58,Cast Iron,91.5,Carbon Steel,7.6,30.0,Welded,0.0
Marine Diesel Generator Alternator,Terminal Box,86.34,Carbon Steel,71.9,Copper,21.7,29.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Rotor Shaft,1238.62,Alloy Steel,91.6,None,0.0,28.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Bearings,154.15,Chromium Steel,90.1,Aluminum Alloy,10.0,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Slip Rings,84.51,Copper,58.4,Stainless Steel,27.2,7.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Terminal Box,101.05,Carbon Steel,74.0,Copper,18.9,22.0,Mechanically Fastened / Bolted,0.0
Marine Diesel Generator Alternator,Insulation System,126.64,Epoxy Resin,67.0,Polyester Resin,29.5,11.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Frame / Housing,2482.1,Cast Iron,86.1,Carbon Steel,6.7,25.0,Welded,0.0
Marine Diesel Generator Alternator,Slip Rings,92.63,Copper,59.7,Stainless Steel,29.5,7.0,Mechanically Fastened / Bolted,2.0
Marine Diesel Generator Alternator,Cooling Fan,235.57,Aluminum Alloy,84.7,Carbon Steel,7.3,14.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Stator Windings,1774.27,Copper,82.3,Epoxy Resin,17.3,13.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Bearings,174.14,Chromium Steel,84.8,Aluminum Alloy,10.1,11.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Windings,983.81,Copper,71.5,Epoxy Resin,23.8,15.0,Chemically Bonded / Cast,2.0
Marine Diesel Generator Alternator,Stator Core,5048.08,Electrical Steel,92.7,Epoxy Resin,5.4,22.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Shaft,1232.07,Alloy Steel,95.9,None,0.0,26.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Cooling Fan,210.61,Aluminum Alloy,90.3,Carbon Steel,8.8,14.0,Mechanically Fastened / Bolted,1.0
Marine Diesel Generator Alternator,Rotor Shaft,1251.45,Alloy Steel,96.5,None,0.0,32.0,Mechanically Fastened / Bolted,1.0
